# slug|source element prefix|category|Chinese visible appearance|English visible appearance|estimated p when seen in source location|region ID suffix (optional)|reviewed image index (optional)
# Every row names a local HTML block. Probability is an initial qualitative estimate, not a measured frequency.
senegal|19b24d95|plants|茂盛的绿植与沿海棕榈|Lush vegetation with coastal palms|0.62|sn:south|
senegal|84d75601|camera|银车左前方有长天线|Long antenna at left front of silver camera car|0.62|sn:north|
tanzania|aa7f774b|camera|边境道路有普通街景车|Ordinary Street View car on a border road|0.62|tz:border|
tunisia|441da8da|terrain|休耕农田与地中海丘陵|Fallow fields among Mediterranean hills|0.62|tn:north|0:left
tunisia|4aa50fb7|terrain|白色小石散落的干旱沙漠|Arid desert with scattered small white stones|0.62|tn:south|0:left
madagascar|u403ae92|camera|徒步画面里的人穿深蓝 T 恤和黑太阳镜|Trekker follower in dark blue shirt and black sunglasses|0.62|mg:northwest|0
madagascar|ud0b40f3|camera|画面中有灰帽浅蓝衬衫的徒步同伴|Trekker companion with gray hat and pale blue shirt|0.62|mg:southwest|
madagascar|u513ecc1|terrain|俯瞰城市的陡坡与山顶旧宫殿|Steep hillside overlooking city with hilltop palace|0.62|mg:highlands|
mali|u76a7f83|buildings|清真寺外是大片红土空地|Broad red-dirt clearing outside mosque|0.62|ml:gao|0:left
mali|ua3766b2|buildings|清真寺室内浅蓝墙和粉红地面|Pale blue mosque walls and pink floor|0.62|ml:bamako|0:left
mali|d9fd3ce1|terrain|干枯树旁的天然岩石峡谷|Natural rock canyon with dry trees|0.62|ml:canyon|0:left
rwanda|ua48c55c|camera|街景车为黑色皮卡|Black pickup as Street View car|0.62|rw:kigali|0:left
rwanda|u2e87e1b|terrain|开阔农田中的缓和丘陵|Open farmland with gentle rolling hills|0.62|rw:northeast|0:left
rwanda|u3eb0448|markings|鹅卵石铺成的城镇道路|Cobblestone town roads|0.62|rw:south|0:left
rwanda|u912a773|buildings|高墙围起的豪华别墅群|Luxury villas behind high walls|0.62|rw:kigali|0:left
